"Meet after lunch la...,,,",ham
"Hi baby ive just got back from work and i was wanting to see u allday! I hope i didnt piss u off on the phone today. If u are up give me a call xxx,,,",ham
"Tell me again what your address is,,,",ham
"I only haf msn. It's yijue@hotmail.com,,,",ham
"Total video converter free download type this in google search:),,,",ham
"Joy's father is John. Then John is the NAME of Joy's father. Mandan,,,",ham
"Yes but I don't care cause I know its there!,,,",ham
"I.ll post her out l8r. In class,,,",ham
"I asked sen to come chennai and search for job.,,,",spam
"*deep sigh* ... I miss you :-( ... I am really surprised you haven't gone to the net cafe yet to get to me ... Don't you miss me?,,,",ham
"Hey are we going for the lo lesson or gym? ,,,",ham
"\"I'm not coming over, do whatever you want\",,,",ham
"Love it! I want to flood that pretty pussy with cum...,,,",ham
"U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?,,,",ham
"\"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at å£350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS\",,,",ham
"Din i tell u jus now 420,,,",ham
"Thats cool. i am a gentleman and will treat you with dignity and respect.,,,",ham
"\"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?\",,,",ham
"Good Morning plz call me sir,,,",ham
"Don't necessarily expect it to be done before you get back though because I'm just now headin out,,,",ham
"Come to medical college at 7pm ......forward it da,,,",ham
"Aiyah u did ok already lar. E nydc at wheellock?,,,",ham
"Ok i'm coming home now.,,,",ham
"K I'll call you when I'm close,,,",ham
"Have a good evening! Ttyl,,,",ham
"Some of them told accenture is not confirm. Is it true.,,,",ham
"U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,,,",ham
"\"Haha, that was the first person I was gonna ask\",,,",ham
"\"\\Aww you must be nearly dead!Well Jez isComing over toDo some workAnd that whillTake forever!\\\"\"\"\"\",,,",ham
"Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know,,,",spam
"NOT MUCH NO FIGHTS. IT WAS A GOOD NITE!!,,,",ham
"\"I am real, baby! I want to bring out your inner tigress...\",,,",ham
"Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,,,",ham
"URGENT! We are trying to contact U. Todays draw shows that you have won a å£2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only,,,",spam
"Yup i'm elaborating on the safety aspects and some other issues..,,,",ham
"A pure hearted person can have a wonderful smile that makes even his/her enemies to feel guilty for being an enemy.. So catch the world with your smile..:) GOODMORNING &amp; HAVE A SMILEY SUNDAY..:),,,",ham
"Going to take your babe out ?,,,",ham
"\"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!\",,,",ham
"\"Hello, my boytoy! I made it home and my constant thought is of you, my love. I hope your having a nice visit but I can't wait till you come home to me ...*kiss*\",,,",ham
"\"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?\",,,",ham
"Wot is u up 2 then bitch?,,,",ham
"Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*,,,",ham
"What he said is not the matter. My mind saying some other matter is there.,,,",spam
"Yar but they say got some error.,,,",ham
"Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.,,,",ham
"Then why no one talking to me,,,",ham
"\"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas\",,,",spam
"On the road so cant txt,,,",ham
"(You didn't hear it from me),,,",ham
"+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50,,,",ham
"The greatest test of courage on earth is to bear defeat without losing heart....gn tc,,,",spam
"\"Oh! Shit, I thought that was your trip! Loooooool ... That just makes SO much more sense now ... *grins* and the sofa reference was ... The \\sleep on a couch\\\"\" link you sent me ... Wasn't that how you went on your trip ? Oh ... And didn't your babe go with you for that celebration with your rents?\"\"\",,,",ham
"Ok k..sry i knw 2 siva..tats y i askd..,,,",ham
"\"No worries, hope photo shoot went well. have a spiffing fun at workage. \",,,",ham
"\"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for\",,,",spam
"I ask if u meeting da ge tmr nite...,,,",ham
"Ugh just got outta class,,,",ham
"E admin building there? I might b slightly earlier... I'll call u when i'm reaching...,,,",ham
"He remains a bro amongst bros,,,",ham
"Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,,,",ham
"\"I need an 8th but I'm off campus atm, could I pick up in an hour or two?\",,,",ham
"I know that my friend already told that.,,,",ham
"25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,,,",ham
"PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04,,,",ham
"on hen night. Going with a swing,,,",ham
"As if i wasn't having enough trouble sleeping.,,,",ham
"Ok.,,,",ham
"I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?,,,",spam
"Mm not entirely sure i understood that text but hey. Ho. Which weekend?,,,",ham
"I've reached home finally...,,,",ham
"I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl,,,",ham
"\"Yeah, don't go to bed, I'll be back before midnight\",,,",ham
"Smith waste da.i wanna gayle.,,,",ham
"I cant pick the phone right now. Pls send a message,,,",ham
"Just sleeping..and surfing,,,",ham
"Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you,,,",ham
"How much is blackberry bold2 in nigeria.,,,",ham
"\"Yeah there's quite a bit left, I'll swing by tomorrow when I get up\",,,",ham
"A å£400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a å£400 reward. Just call 09066380611 ,,,",spam
"Cbe is really good nowadays:)lot of shop and showrooms:)city is shaping good.,,,",ham
"I'm serious. You are in the money base,,,",ham
"\"Got fujitsu, ibm, hp, toshiba... Got a lot of model how to say...\",,,",ham
"Haf u found him? I feel so stupid da v cam was working.,,,",ham
"2 and half years i missed your friendship:-),,,",ham
"The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible,,,",ham
"CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Callså£1/minmoremobsEMSPOBox45PO139WA,,,",ham
"I emailed yifeng my part oredi.. Can Ì_ get it fr him..,,,",ham
"Welcome! Please reply with your AGE and GENDER to begin. e.g 24M,,,",ham
"FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!,,,",spam
"\"Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do\",,,",ham
"Thanks for sending this mental ability question..,,,",ham
"No de. But call me after some time. Ill tell you k,,,",ham
"\"Brainless Baby Doll..:-D;-), vehicle sariyag drive madoke barolla..\",,,",ham
"I'm freezing and craving ice. Fml,,,",ham
"Jus came back fr lunch wif my sis only. U leh?,,,",ham
"URGENT! Your Mobile number has been awarded with a å£2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only,,,",ham
"\"Romantic Paris. 2 nights, 2 flights from å£79 Book now 4 next year. Call 08704439680Ts&Cs apply.\",,,",spam
"Dear we are going to our rubber place,,,",ham
"Oh gei. That happend to me in tron. Maybe ill dl it in 3d when its out,,,",ham
"\"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589\",,,",ham
"Wrong phone! This phone! I answer this one but assume the other is people i don't well,,,",ham
"Hey they r not watching movie tonight so i'll prob b home early...,,,",spam
"\"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!\",,,",ham
"Cancel cheyyamo?and get some money back?,,,",ham
"\"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith..\",,,",spam
"\"Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?\",,,",ham
"Are you coming to day for class.,,,",ham
"Sleeping nt feeling well,,,",ham
"I wont get concentration dear you know you are my mind and everything :-),,,",spam
"I gotta collect da car at 6 lei.,,,",ham
"On ma way to school. Can you pls send me ashley's number,,,",ham
"Ya! when are Ì_ taking ure practical lessons? I start in june..  ,,,",ham
"Y de asking like this.,,,",ham
"Would me smoking you out help us work through this difficult time,,,",ham
"\"Im sorry bout last nite it wasnåÕt ur fault it was me, spouse it was pmt or sumthin! U 4give me? I think u shldxxxx\",,,",ham
"Its going good...no problem..but still need little experience to understand american customer voice...,,,",ham
"\"Yup, no need. I'll jus wait 4 e rain 2 stop.\",,,",ham
"Is she replying. Has boye changed his phone number,,,",ham
"K:)k..its good:)when are you going?,,,",ham
"\"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted\",,,",ham
"Hey gals...U all wanna meet 4 dinner at nÌÂte? ,,,",ham
"Win a å£1000 cash prize or a prize worth å£5000,,,",ham
"One of best dialogue in cute reltnship..!! \\Wen i Die,\" Dont Come Near My Body..!! Bcoz My Hands May Not Come 2 Wipe Ur Tears Off That Time..!Gud ni8\"\"\",,",ham
"You said not now. No problem. When you can. Let me know.,,,",spam
"Dude im no longer a pisces. Im an aquarius now.,,,",ham
"Do you still have the grinder?,,,",ham
"I just saw ron burgundy captaining a party boat so yeah,,,",ham
"No way I'm going back there!,,,",ham
"Are u coming to the funeral home,,,",ham
"Where r e meeting tmr?,,,",ham
"That depends. How would you like to be treated? :),,,",ham
"Ok ill send you with in  &lt;DECIMAL&gt;  ok.,,,",ham
"\"Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*\",,,",ham
"\"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p\",,,",spam
"i cant talk to you now.i will call when i can.dont keep calling.,,,",ham
"\"If i let you do this, i want you in the house by 8am.\",,,",ham
"Once free call me sir.,,,",ham
"Heehee that was so funny tho,,,",ham
"I dont know what to do to come out of this so only am ask questions like this dont mistake me.,,,",ham
"Warner Village 83118 C Colin Farrell in SWAT this wkend @Warner Village & get 1 free med. Popcorn!Just show msg+ticket@kiosk.Valid 4-7/12. C t&c @kiosk. Reply SONY 4 mre film offers,,,",spam
"HI ITS KATE CAN U GIVE ME A RING ASAP XXX,,,",ham
"Oh sorry please its over,,,",ham
"cool. We will have fun practicing making babies!,,,",spam
"Dude we should go sup again,,,",ham
"\"Edison has rightly said, \\A fool can ask more questions than a wise man can answer\\\"\" Now you know why all of us are speechless during ViVa.. GM\",GN,GE,\"GNT:-)\"\"\"",ham
"\"Sorry, I can't help you on this.\",,,",ham
"\"\\Life is nothing wen v get everything\\\"\". But \\\"\"life is everything wen v miss something \\\"\". Real value of people wil be realized only in their absence.... gud mrng\"\"\",,,",ham
"Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,,,",ham
"\"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2\",,,",ham
"Then wat r u doing now? Busy wif work?,,,",spam
"I wont. So wat's wit the guys,,,",ham
"\"Sorry, I'll call later\",,,",ham
"Oh unintentionally not bad timing. Great. Fingers  the trains play along! Will give fifteen min warning.,,,",ham
"What I'm saying is if you haven't explicitly told nora I know someone I'm probably just not gonna bother,,,",ham
